gencodeId	geneSymbol	chromosome	start	end	strand	tss	description
ENSRNOG00000052274	SNORA70	1	5437971	5438109	-	5438109	Small nucleolar RNA SNORA70
ENSRNOG00000040242	Epm2a	1	5448957	5571512	+	5448957	EPM2A glucan phosphatase, laforin
ENSRNOG00000054906	AABR07000239.1	1	5740143	5740273	+	5740143	
ENSRNOG00000058048	AABR07000247.1	1	6038600	6038727	+	6038600	
ENSRNOG00000051844	AABR07000248.1	1	6278880	6279793	-	6279793	
ENSRNOG00000053880	SNORA73	1	6440054	6440244	+	6440054	Small nucleolar RNA SNORA73 family
ENSRNOG00000011058	Utrn	1	6451809	6970040	-	6970040	utrophin
ENSRNOG00000014902	Stx11	1	7039161	7064870	-	7064870	syntaxin 11
ENSRNOG00000014908	Sf3b5	1	7101714	7102426	+	7101714	splicing factor 3b, subunit 5
ENSRNOG00000036310	AABR07000257.1	1	7171506	7171614	+	7171506	
ENSRNOG00000025587	Plagl1	1	7252348	7259035	+	7252348	PLAG1 like zinc finger 1
ENSRNOG00000042705	Zc2hc1b	1	7294026	7322455	-	7322455	zinc finger, C2HC-type containing 1B
ENSRNOG00000043188	AABR07000261.1	1	7305657	7313200	+	7305657	
ENSRNOG00000015217	Ltv1	1	7323039	7335936	-	7335936	LTV1 ribosome biogenesis factor
ENSRNOG00000015473	Phactr2	1	7355153	7480825	-	7480825	phosphatase and actin regulator 2
ENSRNOG00000015551	Fuca2	1	7658889	7673683	+	7658889	alpha-L-fucosidase 2
ENSRNOG00000015660	Pex3	1	7685337	7726401	-	7726401	peroxisomal biogenesis factor 3
ENSRNOG00000046983	Adat2	1	7726528	7742484	+	7726528	adenosine deaminase, tRNA-specific 2
ENSRNOG00000016624	AABR07000276.1	1	7800940	7801438	-	7801438	
ENSRNOG00000010753	Aig1	1	7816837	8038665	-	8038665	androgen-induced 1
ENSRNOG00000011015	Hivep2	1	8310576	8333885	+	8310576	HIVEP zinc finger 2
ENSRNOG00000011399	AABR07000292.1	1	8465332	8466091	-	8466091	uncharacterized LOC100912436
ENSRNOG00000011411	Adgrg6	1	8593074	8751198	-	8751198	adhesion G protein-coupled receptor G6
ENSRNOG00000011540	Vta1	1	8830410	8878244	-	8878244	vesicle trafficking 1
ENSRNOG00000012092	Gje1	1	8883960	8885967	-	8885967	gap junction protein, epsilon 1
ENSRNOG00000012103	Nmbr	1	8933830	8944987	+	8933830	neuromedin B receptor
ENSRNOG00000059930	AABR07000304.1	1	9201883	9202014	+	9201883	
ENSRNOG00000059032	AABR07000325.1	1	9848302	9849453	+	9848302	
ENSRNOG00000056005	U7	1	10193439	10193504	+	10193439	U7 small nuclear RNA
ENSRNOG00000055342	U7	1	10195250	10195312	+	10195250	U7 small nuclear RNA
ENSRNOG00000047798	AABR07000332.1	1	10206593	10206692	-	10206692	
ENSRNOG00000059769	AABR07000356.1	1	10775638	10775765	+	10775638	
ENSRNOG00000047193	Olr905	1	11758229	11759168	+	11758229	olfactory receptor 905
ENSRNOG00000060990	AABR07000382.1	1	11766991	11772215	+	11766991	
ENSRNOG00000058425	AABR07000385.2	1	11834037	11840581	-	11840581	
ENSRNOG00000055421	AABR07000385.1	1	11873205	11873466	+	11873205	
ENSRNOG00000051831	5_8S_rRNA	1	11906440	11906593	-	11906593	5.8S ribosomal RNA
ENSRNOG00000052007	AABR07000392.1	1	11915536	11915623	-	11915623	
ENSRNOG00000061685	AABR07000398.2	1	11962749	11962836	+	11962749	
ENSRNOG00000047746	AABR07000398.1	1	11963835	11968939	+	11963835	
ENSRNOG00000053888	5_8S_rRNA	1	11970091	11970244	+	11970091	5.8S ribosomal RNA
ENSRNOG00000055836	AABR07000402.1	1	11974141	11974190	+	11974141	
ENSRNOG00000060657	AABR07000404.1	1	11975021	11975070	+	11975021	
ENSRNOG00000059898	LOC100909599	1	11982256	11995787	-	11995787	probable ATP-dependent RNA helicase YTHDC2-like
ENSRNOG00000055789	AABR07000411.1	1	12006597	12136637	+	12006597	
ENSRNOG00000055660	AABR07000433.1	1	12400647	12410192	+	12400647	
ENSRNOG00000060284	AABR07000436.1	1	12483435	12485729	-	12485729	
ENSRNOG00000056019	AC128394.2	1	12683023	12757959	-	12757959	
ENSRNOG00000059861	AC128394.3	1	12776936	12798803	-	12798803	
ENSRNOG00000056940	Cited2	1	12823362	12825786	+	12823362	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2
ENSRNOG00000055972	AC128394.1	1	12906898	12908181	+	12906898	
ENSRNOG00000060021	Txlnb	1	12915733	12961670	+	12915733	taxilin beta
ENSRNOG00000060610	AABR07071848.1	1	12952552	12952906	-	12952906	
ENSRNOG00000060972	Heca	1	13036908	13050644	-	13050644	hdc homolog, cell cycle regulator
ENSRNOG00000051450	Abracl	1	13165571	13175876	-	13175876	ABRA C-terminal like
ENSRNOG00000059224	Reps1	1	13212323	13298347	+	13212323	RALBP1 associated Eps domain containing 1
ENSRNOG00000055142	Ect2l	1	13302255	13341952	-	13341952	epithelial cell transforming 2 like
ENSRNOG00000052189	AABR07000452.1	1	13344900	13382067	-	13382067	
ENSRNOG00000053331	AABR07000451.1	1	13351241	13354315	+	13351241	
ENSRNOG00000053347	Ccdc28a	1	13384155	13395370	-	13395370	coiled-coil domain containing 28A
ENSRNOG00000059393	U6	1	13582339	13582424	-	13582424	U6 spliceosomal RNA
ENSRNOG00000060603	Nhsl1	1	13595294	13705396	+	13595294	NHS-like 1
ENSRNOG00000053735	Hebp2	1	13714439	13719829	-	13719829	heme binding protein 2
ENSRNOG00000053184	AABR07000458.1	1	13723248	13723349	+	13723248	
ENSRNOG00000011460	Arfgef3	1	13838706	13915594	-	13915594	ARFGEF family member 3
ENSRNOG00000025799	RGD1560303	1	14115147	14117021	-	14117021	similar to hypothetical protein 4933423E17
ENSRNOG00000011994	Perp	1	14224392	14236846	+	14224392	p53 apoptosis effector related to PMP22
ENSRNOG00000049517	Tnfaip3	1	14402912	14412807	-	14412807	TNF alpha induced protein 3
ENSRNOG00000058088	LOC102550206	1	14507955	14512887	+	14507955	uncharacterized LOC102550206
ENSRNOG00000054373	AABR07000484.1	1	14527715	14549472	+	14527715	
ENSRNOG00000012057	Olig3	1	14797765	14799835	+	14797765	oligodendrocyte transcription factor 3
ENSRNOG00000053291	AABR07000493.1	1	14938229	14950781	+	14938229	
ENSRNOG00000012074	Ifngr1	1	15062431	15080907	+	15062431	interferon gamma receptor 1
ENSRNOG00000012259	Il22ra2	1	15093598	15106954	+	15093598	interleukin 22 receptor subunit alpha 2
ENSRNOG00000012286	Il20ra	1	15180327	15222785	+	15180327	interleukin 20 receptor subunit alpha
ENSRNOG00000057719	AC136053.1	1	15247332	15255928	+	15247332	
ENSRNOG00000012311	Slc35d3	1	15298525	15301998	-	15301998	solute carrier family 35, member D3
ENSRNOG00000012322	Pex7	1	15311769	15374850	-	15374850	peroxisomal biogenesis factor 7
ENSRNOG00000031700	Map3k5	1	15412602	15613746	+	15412602	mitogen-activated protein kinase kinase kinase 5
ENSRNOG00000054452	AABR07000497.1	1	15540604	15540739	-	15540739	
ENSRNOG00000012701	Map7	1	15620652	15748203	+	15620652	microtubule-associated protein 7
ENSRNOG00000053505	U6	1	15778172	15778279	+	15778172	U6 spliceosomal RNA
ENSRNOG00000058050	Bclaf1	1	15782476	15860624	+	15782476	BCL2-associated transcription factor 1
ENSRNOG00000013436	Pde7b	1	15893532	16203909	-	16203909	phosphodiesterase 7B
ENSRNOG00000058518	AABR07000521.1	1	16389825	16389966	+	16389825	predicted gene, 25409
ENSRNOG00000053617	AABR07000523.1	1	16449175	16463107	+	16449175	
ENSRNOG00000013969	Ahi1	1	16478126	16601769	+	16478126	Abelson helper integration site 1
ENSRNOG00000055858	Myb	1	16659441	16687817	-	16687817	MYB proto-oncogene, transcription factor
ENSRNOG00000014531	Hbs1l	1	16819169	16896219	+	16819169	HBS1-like translational GTPase
ENSRNOG00000014907	Aldh8a1	1	16910068	16930481	+	16910068	aldehyde dehydrogenase 8 family, member A1
ENSRNOG00000052464	AABR07000533.1	1	16958480	16967945	-	16967945	protein LEG1 homolog
ENSRNOG00000058612	U6	1	16969942	16970046	+	16969942	U6 spliceosomal RNA
ENSRNOG00000048762	AABR07000534.1	1	16987381	16989482	-	16989482	
ENSRNOG00000058363	RNaseP_nuc	1	16995738	16995982	+	16995738	Nuclear RNase P
ENSRNOG00000014979	Themis	1	17171630	17378047	-	17378047	thymocyte selection associated
ENSRNOG00000055971	AABR07000544.1	1	17432105	17432481	+	17432105	
ENSRNOG00000047605	Ptprk	1	17446416	18058055	-	18058055	protein tyrosine phosphatase, receptor type, K
ENSRNOG00000046617	LOC103690149	1	17602280	17625197	+	17602280	jouberin-like
ENSRNOG00000047754	AABR07000574.1	1	18086051	18086154	-	18086154	
ENSRNOG00000028519	AABR07000581.1	1	18353811	18354534	+	18353811	
ENSRNOG00000011134	Lama2	1	18491383	19143269	+	18491383	laminin subunit alpha 2
ENSRNOG00000046438	AABR07000583.1	1	18511023	18511695	-	18511695	
ENSRNOG00000057281	U6	1	18578035	18578142	+	18578035	U6 spliceosomal RNA
ENSRNOG00000058772	U6	1	19151128	19151235	-	19151235	U6 spliceosomal RNA
ENSRNOG00000011245	Arhgap18	1	19227120	19376301	-	19376301	Rho GTPase activating protein 18
ENSRNOG00000030796	AABR07000595.1	1	19521207	19522171	-	19522171	
ENSRNOG00000051380	LOC102554576	1	19638105	19640329	-	19640329	protein argonaute-4-like
ENSRNOG00000011720	L3mbtl3	1	20022792	20097099	+	20022792	L3MBTL histone methyl-lysine binding protein 3
ENSRNOG00000033517	LOC100360791	1	20115994	20116513	+	20115994	tumor protein, translationally-controlled 1
ENSRNOG00000039955	Samd3	1	20125965	20155960	-	20155960	sterile alpha motif domain containing 3
ENSRNOG00000050801	AABR07000629.3	1	20238385	20243910	-	20243910	
ENSRNOG00000049569	AABR07000629.2	1	20331885	20331975	-	20331975	
ENSRNOG00000047783	Tmem200a	1	20332029	20412381	+	20332029	transmembrane protein 200A
ENSRNOG00000053931	AABR07000631.1	1	20388990	20389124	+	20388990	
ENSRNOG00000026462	RGD1559962	1	20417007	20417637	-	20417637	similar to High mobility group protein 2 (HMG-2)
ENSRNOG00000056218	AABR07000639.1	1	20735755	20737305	-	20737305	
ENSRNOG00000047821	Smlr1	1	20856186	20877716	+	20856186	small leucine-rich protein 1
ENSRNOG00000012346	Epb41l2	1	20893994	20962526	-	20962526	erythrocyte membrane protein band 4.1-like 2
ENSRNOG00000013202	Akap7	1	21141969	21263850	+	21141969	A-kinase anchoring protein 7
ENSRNOG00000055111	AABR07000658.2	1	21145359	21146846	-	21146846	cyclin B2-like
ENSRNOG00000054921	AABR07000658.1	1	21165672	21165796	+	21165672	
ENSRNOG00000053999	AABR07071851.2	1	21405801	21434888	-	21434888	
ENSRNOG00000052696	AABR07071851.1	1	21437788	21465729	+	21437788	
ENSRNOG00000013304	Arg1	1	21525420	21537863	+	21525420	arginase 1
ENSRNOG00000013422	Med23	1	21539764	21586910	-	21586910	mediator complex subunit 23
ENSRNOG00000013791	Enpp3	1	21613147	21684480	+	21613147	ectonucleotide pyrophosphatase/phosphodiesterase 3
ENSRNOG00000053913	AC127189.1	1	21704118	21704809	-	21704809	
ENSRNOG00000013994	Enpp1	1	21748260	21813371	+	21748260	ectonucleotide pyrophosphatase/phosphodiesterase 1
ENSRNOG00000015036	Ccn2	1	21851659	21854773	-	21854773	cellular communication network factor 2
ENSRNOG00000015321	Moxd1	1	22124494	22206505	-	22206505	monooxygenase, DBH-like 1
ENSRNOG00000015670	Stx7	1	22241660	22281788	-	22281788	syntaxin 7
ENSRNOG00000026096	Taar9	1	22319352	22320369	+	22319352	trace amine-associated receptor 9
ENSRNOG00000056705	Taar8b	1	22332089	22350348	+	22332089	trace amine-associated receptor 8b
ENSRNOG00000048934	LOC108348200	1	22364550	22365675	+	22364550	trace amine associated receptor 8A
ENSRNOG00000030414	Taar8a	1	22402877	22404002	-	22404002	trace amine associated receptor 8A
ENSRNOG00000039872	AC128759.1	1	22430439	22431506	-	22431506	
ENSRNOG00000048072	Taar7h	1	22451224	22452301	-	22452301	trace amine-associated receptor 7h
ENSRNOG00000052726	AC128759.2	1	22453876	22455381	-	22455381	
ENSRNOG00000048265	Taar7g	1	22465091	22466168	-	22466168	trace amine-associated receptor 7g
ENSRNOG00000046903	Taar7e	1	22479445	22480522	-	22480522	trace-amine-associated receptor 7e
ENSRNOG00000045914	Taar7d	1	22487054	22488131	-	22488131	trace-amine-associated receptor 7d
ENSRNOG00000047825	Taar7c	1	22507093	22508170	-	22508170	trace amine-associated receptor 7C
ENSRNOG00000046302	Taar7b	1	22518559	22519636	-	22519636	trace amine-associated receptor 7b
ENSRNOG00000016095	Taar7a	1	22528742	22529735	+	22528742	trace amine-associated receptor 7a
ENSRNOG00000016089	Taar6	1	22536198	22537236	+	22536198	trace amine-associated receptor 6
ENSRNOG00000039869	Taar5	1	22547661	22548675	-	22548675	trace amine-associated receptor 5
ENSRNOG00000029877	Taar4	1	22558786	22559830	-	22559830	trace amine-associated receptor 4
ENSRNOG00000025982	Taar3	1	22569274	22570303	-	22570303	trace amine-associated receptor 3
ENSRNOG00000025951	Taar2	1	22578024	22581994	-	22581994	trace amine associated receptor 2
ENSRNOG00000016073	Taar1	1	22595476	22596475	-	22596475	trace-amine-associated receptor 1
ENSRNOG00000016219	Vnn1	1	22614782	22625204	-	22625204	vanin 1
ENSRNOG00000039865	Vnn3	1	22649080	22661377	-	22661377	vanin 3
ENSRNOG00000016371	Slc18b1	1	22705915	22748422	-	22748422	solute carrier family 18 member B1
ENSRNOG00000060376	LOC100910237	1	22757011	22758012	-	22758012	uncharacterized LOC100910237
ENSRNOG00000016411	Rps12	1	22758211	22760370	+	22758211	ribosomal protein S12
ENSRNOG00000057952	Gm23130	1	22758916	22758990	+	22758916	predicted gene, 23130
ENSRNOG00000061678	Snord100	1	22759628	22759703	+	22759628	small nucleolar RNA, C/D box 100
ENSRNOG00000054517	Snora33	1	22759962	22760089	+	22759962	small nucleolar RNA, H/ACA box 33
ENSRNOG00000016627	Eya4	1	23409407	23610164	+	23409407	EYA transcriptional coactivator and phosphatase 4
ENSRNOG00000048248	LOC100910446	1	23543425	23556241	-	23556241	syntaxin-7-like
ENSRNOG00000016700	Tcf21	1	23906716	23909566	+	23906716	transcription factor 21
ENSRNOG00000011114	Tbpl1	1	23977687	24002506	+	23977687	TATA-box binding protein like 1
ENSRNOG00000011161	Slc2a12	1	24003624	24056373	-	24056373	solute carrier family 2 member 12
ENSRNOG00000051597	AABR07000714.1	1	24072548	24073514	-	24073514	
ENSRNOG00000057722	AABR07000714.2	1	24076917	24081784	+	24076917	
ENSRNOG00000011815	Sgk1	1	24185434	24302298	-	24302298	serum/glucocorticoid regulated kinase 1
ENSRNOG00000059690	Gm23839	1	24306049	24306156	+	24306049	predicted gene, 23839
ENSRNOG00000051379	U6	1	24333768	24333875	-	24333875	U6 spliceosomal RNA
ENSRNOG00000059251	LOC100365542	1	24571239	24604400	-	24604400	rCG41957-like
ENSRNOG00000061761	AABR07000723.1	1	24609862	24610641	-	24610641	
ENSRNOG00000056881	LOC102546868	1	24737824	24740179	+	24737824	uncharacterized LOC102546868
ENSRNOG00000055637	AABR07000725.1	1	24825370	24828485	+	24825370	
ENSRNOG00000058047	AABR07000733.1	1	24854906	24858316	-	24858316	
ENSRNOG00000052999	AABR07000738.1	1	24889957	24891461	-	24891461	
ENSRNOG00000048976	LOC501467	1	24900857	24905169	+	24900857	similar to spermatogenesis associated glutamate (E)-rich protein 4d
ENSRNOG00000048796	AABR07000740.1	1	24922303	24924918	-	24924918	uncharacterized LOC103690177
ENSRNOG00000054246	LOC679711	1	24981822	24982606	-	24982606	similar to RIKEN cDNA 5031410I06
ENSRNOG00000012122	Clvs2	1	25173241	25296927	+	25173241	clavesin 2
ENSRNOG00000062105	AABR07000765.1	1	25253269	25254279	-	25254279	solute carrier family 2, facilitated glucose transporter member 3 pseudogene
ENSRNOG00000062163	AABR07000765.3	1	25262795	25263797	-	25263797	glyceraldehyde-3-phosphate dehydrogenase pseudogene
ENSRNOG00000062138	AABR07000765.2	1	25355308	25357433	+	25355308	similar to zinc finger, BED domain containing 4
ENSRNOG00000012609	Trdn	1	25403389	25839345	-	25839345	triadin
ENSRNOG00000058582	U6	1	27472394	27472501	-	27472501	U6 spliceosomal RNA
ENSRNOG00000029608	Nkain2	1	27476374	28159290	+	27476374	sodium/potassium transporting ATPase interacting 2
ENSRNOG00000052712	AABR07000900.1	1	27540845	27540948	-	27540948	
ENSRNOG00000057890	U4	1	27723196	27723313	+	27723196	U4 spliceosomal RNA
ENSRNOG00000056670	AABR07000902.1	1	27924824	27927782	+	27924824	
ENSRNOG00000013323	Rnf217	1	28301921	28390837	+	28301921	ring finger protein 217
ENSRNOG00000021478	Tpd52l1	1	28454965	28576553	+	28454965	TPD52 like 1
ENSRNOG00000021442	Hddc2	1	28579989	28600586	-	28600586	HD domain containing 2
ENSRNOG00000041720	5S_rRNA	1	28595960	28596073	+	28595960	5S ribosomal RNA
ENSRNOG00000013364	Hey2	1	29191191	29201531	+	29191191	hes-related family bHLH transcription factor with YRPW motif 2
ENSRNOG00000014004	Ncoa7	1	29225706	29385199	+	29225706	nuclear receptor coactivator 7
ENSRNOG00000045369	5S_rRNA	1	29352779	29352913	+	29352779	5S ribosomal RNA
ENSRNOG00000014190	Hint3	1	29413364	29423347	+	29413364	histidine triad nucleotide binding protein 3
ENSRNOG00000014240	Trmt11	1	29432151	29487473	+	29432151	tRNA methyltransferase 11 homolog
ENSRNOG00000042944	Cenpw	1	29915442	29920598	+	29915442	centromere protein W
ENSRNOG00000060033	AABR07000968.2	1	30027000	30027123	+	30027000	
ENSRNOG00000050157	AABR07000968.1	1	30085336	30085434	-	30085434	
ENSRNOG00000056383	U4	1	30150302	30150446	-	30150446	U4 spliceosomal RNA
ENSRNOG00000061372	AABR07000968.3	1	30196151	30197158	+	30196151	
ENSRNOG00000056484	AABR07000978.1	1	30666086	30666753	-	30666753	
ENSRNOG00000011568	Rspo3	1	30681680	30766860	+	30681680	R-spondin 3
ENSRNOG00000011588	Rnf146	1	30863216	30873808	+	30863216	ring finger protein 146
ENSRNOG00000011622	Echdc1	1	30874417	30917882	-	30917882	ethylmalonyl-CoA decarboxylase 1
ENSRNOG00000054753	AABR07000986.1	1	31000771	31004646	-	31004646	
ENSRNOG00000042309	Kiaa0408L	1	31040141	31055453	-	31055453	Kiaa0408-like
ENSRNOG00000012324	Soga3	1	31066797	31122093	-	31122093	SOGA family member 3
ENSRNOG00000061741	AABR07000989.1	1	31124824	31125160	+	31124824	
ENSRNOG00000054845	AABR07000990.1	1	31163818	31163934	+	31163818	
ENSRNOG00000023407	LOC100910528	1	31261369	31262466	-	31262466	mitochondrial ribosomal protein L36
ENSRNOG00000023387	LOC100912599	1	31264754	31273159	+	31264754	NADH dehydrogenase (ubiquinone) Fe-S protein 6
ENSRNOG00000012581	RGD1311933	1	31409578	31425662	+	31409578	similar to RIKEN cDNA 2310057J18
ENSRNOG00000039788	AC094217.2	1	31436711	31437203	+	31436711	
ENSRNOG00000051400	RNaseP_nuc	1	31443438	31443685	+	31443438	Nuclear RNase P
ENSRNOG00000039783	AC094217.1	1	31527645	31528083	-	31528083	ribosomal protein L26, pseudogene 2
ENSRNOG00000028357	Lrrc14b	1	31531142	31535314	+	31531142	leucine rich repeat containing 14B
ENSRNOG00000012775	Ccdc127	1	31539214	31545559	-	31545559	coiled-coil domain containing 127
ENSRNOG00000013331	Sdha	1	31545630	31570601	+	31545630	succinate dehydrogenase complex flavoprotein subunit A
ENSRNOG00000014485	Pdcd6	1	31576182	31591849	+	31576182	programmed cell death 6
ENSRNOG00000014721	Ahrr	1	31603296	31698329	+	31603296	aryl-hydrocarbon receptor repressor
ENSRNOG00000039776	Exoc3	1	31700952	31731815	+	31700952	exocyst complex component 3
ENSRNOG00000015159	Slc9a3	1	31734326	31777070	-	31777070	solute carrier family 9 member A3
ENSRNOG00000015465	Cep72	1	31834999	31864628	+	31834999	centrosomal protein 72
ENSRNOG00000028261	Tppp	1	31870898	31890778	-	31890778	tubulin polymerization promoting protein
ENSRNOG00000039743	Zdhhc11	1	31906063	31936537	-	31936537	zinc finger, DHHC-type containing 11
ENSRNOG00000060926	AABR07001001.2	1	31937652	31939296	+	31937652	
ENSRNOG00000015676	Brd9	1	31939584	31967915	-	31967915	bromodomain containing 9
ENSRNOG00000015810	Trip13	1	31967977	32012919	+	31967977	thyroid hormone receptor interactor 13
ENSRNOG00000051415	AABR07001001.1	1	31978115	31978253	-	31978253	
ENSRNOG00000045233	5S_rRNA	1	32051293	32051411	-	32051411	5S ribosomal RNA
ENSRNOG00000016103	Nkd2	1	32058043	32084877	+	32058043	NKD inhibitor of WNT signaling pathway 2
ENSRNOG00000016372	Slc12a7	1	32086754	32141036	-	32141036	solute carrier family 12 member 7
ENSRNOG00000056712	AC142421.1	1	32191847	32200477	-	32200477	
ENSRNOG00000026501	Slc6a19	1	32199809	32220045	+	32199809	solute carrier family 6 member 19
ENSRNOG00000016253	Slc6a18	1	32221635	32236051	+	32221635	solute carrier family 6 member 18
ENSRNOG00000061518	AC142421.2	1	32240143	32244377	+	32240143	
ENSRNOG00000025327	Tert	1	32251713	32272476	-	32272476	telomerase reverse transcriptase
ENSRNOG00000016923	Clptm1l	1	32281206	32297190	-	32297190	CLPTM1-like
ENSRNOG00000017302	Slc6a3	1	32321579	32363983	-	32363983	solute carrier family 6 member 3
ENSRNOG00000017930	Lpcat1	1	32379431	32429917	-	32429917	lysophosphatidylcholine acyltransferase 1
ENSRNOG00000053180	AABR07001003.1	1	32453812	32476611	+	32453812	
ENSRNOG00000047971	Mrpl36	1	32570295	32570589	-	32570589	mitochondrial ribosomal protein L36
ENSRNOG00000049394	LOC679739	1	32573227	32581781	+	32573227	NADH dehydrogenase (ubiquinone) Fe-S protein 6
ENSRNOG00000012720	Irx4	1	32634795	32643771	-	32643771	iroquois homeobox 4
ENSRNOG00000060323	AABR07001006.1	1	32661250	32662221	+	32661250	
ENSRNOG00000057164	AABR07001010.1	1	33061880	33068646	-	33068646	
ENSRNOG00000012742	Irx2	1	33271976	33275540	-	33275540	iroquois homeobox 2
ENSRNOG00000058487	AABR07001018.5	1	33717803	33720703	-	33720703	
ENSRNOG00000055826	AABR07001018.3	1	33721419	33741396	+	33721419	
ENSRNOG00000053323	AABR07001018.1	1	33794802	33797299	+	33794802	
ENSRNOG00000056842	AABR07001018.4	1	33804874	33810864	+	33804874	
ENSRNOG00000033609	Irx1	1	33910911	33916741	+	33910911	iroquois homeobox 1
ENSRNOG00000054020	AABR07001018.2	1	33966861	33980051	-	33980051	
ENSRNOG00000054169	AABR07001019.1	1	34011455	34013448	-	34013448	
ENSRNOG00000057928	AABR07001025.1	1	34269358	34271920	-	34271920	
ENSRNOG00000057721	AABR07001035.1	1	35027040	35027371	-	35027371	
ENSRNOG00000016812	Adamts16	1	35067489	35198939	+	35067489	ADAM metallopeptidase with thrombospondin type 1 motif, 16
ENSRNOG00000047117	AABR07001037.1	1	35151637	35157157	-	35157157	
ENSRNOG00000023053	Ice1	1	35280700	35319182	+	35280700	interactor of little elongation complex ELL subunit 1
ENSRNOG00000049434	AABR07001048.1	1	35526238	35527033	+	35526238	
ENSRNOG00000052375	Gm26018	1	35752470	35752597	-	35752597	predicted gene, 26018
ENSRNOG00000017095	LOC679881	1	35868008	35869909	+	35868008	similar to dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
ENSRNOG00000055337	AABR07001054.1	1	35883693	35886326	-	35886326	
ENSRNOG00000057357	AABR07001054.2	1	35922687	35996536	-	35996536	
